Date,Month,Year,Quarter,Time Of Day,Primary Keywords,Secondary Keywords,Long-Tail Keywords,Location,Social Media Source,Media Type,Device Type,Organic_Traffic,Keywords_Ranking,Clicks,Impressions,CTR (%),Average_Position,Backlinks,Domain_Authority,Bounce_Rate (%),Pages_per_Session,Organic_vs_Paid_Traffic_Split (%),Organic_Traffic_Growth_Rate (%),Conversion_Rate (%),Goal_Completions,Average_Session_Duration (sec),New_vs_Returning_Visitors (%),Exit_Rate (%),Top_Landing_Pages,Keyword_Difficulty,CPC_for_Paid_Keywords ($),Indexed_Pages,Mobile_vs_Desktop_Traffic_Split (%),Organic_Revenue ($),Page_Load_Time (sec),Core_Web_Vitals_LCP (sec),Core_Web_Vitals_FID (ms),Core_Web_Vitals_CLS,Social_Shares,Referral_Traffic,Technical_SEO_Errors,Bounce_Rate_by_Device_Mobile (%),Time_to_First_Byte_TTFB (ms)
1/1/23 0:00,January,2023,Q1,Night,sustainable outdoor gear,athleisure for eco-conscious consumers,best organic cotton t-shirts in the US,United States,Snapchat,Infographic,Laptop,7965,81,2139,43080,3.14,46.44,204,45,42.4,5.34,53.63,38,6.8,246,225,47.87,10.87,Category Page,65.48,6.34,3327,72.46,3597.9,2.87,2.7,448.84,0.3,247,2937,13,51.94,453
1/1/23 1:00,January,2023,Q1,Night,organic cotton apparel,sustainable activewear,best organic cotton t-shirts in the US,Australia,Instagram,Infographic,Desktop,6553,45,2799,15013,1.43,31.6,916,71,39.13,3.14,98.05,15.08,3.5,131,541,43.42,42.57,Homepage,43.29,7.94,1828,89.91,5806.19,4.42,4.31,839.17,0.18,414,1909,19,56.62,437
1/1/23 2:00,January,2023,Q1,Night,organic cotton apparel,ethical fashion brands,best organic cotton t-shirts in the US,United Kingdom,Pinterest,Video,Desktop,1982,96,2990,28455,3.45,36.2,174,42,51.45,3.99,73.03,6.13,12.36,98,88,77.87,15.95,Homepage,79.87,5.47,4762,57.33,1170.33,9.48,3.93,388.88,0.57,373,3059,7,49.62,1077
1/1/23 3:00,January,2023,Q1,Night,eco-friendly accessories,green fashion trends,eco-friendly clothing for hikers,Canada,YouTube,Blog post,Tablet,6363,78,2905,3189,0.96,30.98,589,58,16.4,8.63,54.41,-5.6,3.98,454,100,57.54,37.49,Blog Post,56.45,2.25,739,66.45,1182.17,4.9,1.51,840.83,0.22,134,3264,7,50.74,1202
1/1/23 4:00,January,2023,Q1,Night,sustainable outdoor gear,athleisure for eco-conscious consumers,eco-friendly clothing for hikers,Germany,Twitter,Infographic,Laptop,8720,79,337,27380,8.3,9.93,752,14,78.93,4.17,61.59,41.01,7.88,128,180,71.33,26.97,Homepage,54.3,3.52,1533,53.83,692.14,1.89,3.49,524.28,0.26,24,1631,14,67.05,313
1/1/23 5:00,January,2023,Q1,Night,recycled fabric dresses,athleisure for eco-conscious consumers,carbon-neutral activewear,United States,Snapchat,Blog post,Laptop,4225,73,1643,24483,8.28,47.35,750,57,72.34,3.44,64.29,11.35,2.16,155,267,46.3,26.19,Blog Post,37.58,9.74,630,63.72,8709.74,7.59,2.21,337.97,0.22,216,2348,11,59.57,994
1/1/23 6:00,January,2023,Q1,Morning,organic cotton apparel,sustainable activewear,biodegradable outdoor clothing,Mexico,YouTube,Product page,Tablet,9770,26,357,46134,3.56,20.02,931,82,51.6,7.33,85.6,2.87,13.41,305,290,54.66,39.26,Homepage,75.47,1.55,532,84.91,924.4,5.24,3,444.13,0.75,276,2032,19,39.33,660
1/1/23 7:00,January,2023,Q1,Morning,sustainable outdoor gear,eco-friendly sportswear,eco-friendly clothing for hikers,Australia,Snapchat,Video,Desktop,5021,59,147,12213,5.62,8.65,420,35,41.53,4.17,95.99,2.95,12.57,209,202,46.48,37.42,Blog Post,52.5,7.98,3184,62.5,8254.09,9.75,1.35,881.03,0.76,70,1799,0,11.88,687
1/1/23 8:00,January,2023,Q1,Morning,eco-friendly clothing,ethical fashion brands,best organic cotton t-shirts in the US,Canada,Snapchat,Infographic,Desktop,4156,93,2780,25644,9.87,3.26,673,60,20.81,3.13,83.86,30.63,0.62,297,199,48.55,32.81,Blog Post,64.02,0.7,4203,64.86,589.03,5.47,4.75,443.61,0.9,44,2565,8,57.34,780
1/1/23 9:00,January,2023,Q1,Morning,sustainable outdoor gear,ethical fashion brands,carbon-neutral activewear,Canada,Snapchat,Blog post,Laptop,2397,1,1522,26852,6.91,43.3,291,11,16.91,5.1,78.75,38.89,4.72,380,209,57.79,35.89,Blog Post,74.68,8.72,2990,77.47,4784.15,6.67,2.62,849.33,0.14,358,1934,18,42.37,267
1/1/23 10:00,January,2023,Q1,Morning,vegan leather handbags,athleisure for eco-conscious consumers,sustainable fashion for athletes,Germany,Pinterest,Image gallery,Laptop,7201,48,1723,15730,6.61,27.73,443,88,74.74,3.55,66.17,11.99,8.88,331,516,45.06,28.87,Blog Post,50.97,0.57,4603,83.65,7779.44,8.18,2.05,530.81,0.56,377,3848,3,34.9,910
1/1/23 11:00,January,2023,Q1,Morning,vegan leather handbags,sustainable activewear,where to buy recycled polyester running shorts,United Kingdom,YouTube,Infographic,Tablet,7614,77,1892,8838,9.4,20.26,150,30,66.36,3.72,74.08,31.67,8.05,333,326,68.47,34.94,Product Page,60.36,9.56,3489,64.27,2938.16,9.97,2.64,202.16,0.67,290,4390,3,38.78,479
1/1/23 12:00,January,2023,Q1,Afternoon,organic cotton apparel,eco-friendly sportswear,biodegradable outdoor clothing,United States,TikTok,Blog post,Mobile,1443,37,2438,42227,4.74,20.15,193,30,41.8,6.49,66.05,28.96,2.64,93,59,75.59,16.12,Product Page,20.15,5.17,869,56.86,7948.85,4.44,2.82,872.7,0.2,182,1869,12,22.81,594
1/1/23 13:00,January,2023,Q1,Afternoon,organic cotton apparel,green fashion trends,sustainable fashion for athletes,Mexico,Twitter,Shorts,Laptop,2564,95,2430,26224,9.62,29.68,480,28,32.34,1.68,79.98,36.03,0.78,236,165,46.46,10.51,Category Page,59.67,2.5,2490,55.05,132.77,3.83,1.68,373.45,0.48,391,1890,6,52.94,625
1/1/23 14:00,January,2023,Q1,Afternoon,organic cotton apparel,sustainable activewear,biodegradable outdoor clothing,United States,Facebook,Infographic,Tablet,3189,36,451,15551,1.4,22.06,764,70,46.04,6.17,67.26,38.42,14.63,406,252,52.95,39.82,Homepage,85.26,8.02,1580,84.15,7848.61,4.17,3.98,227.73,0.67,376,3225,4,25.94,811
1/1/23 15:00,January,2023,Q1,Afternoon,eco-friendly clothing,eco-friendly hiking gear,biodegradable outdoor clothing,Mexico,Pinterest,Shorts,Mobile,9144,78,2433,20136,3.01,4.6,82,62,26.31,6.2,72.24,25.38,4.03,366,98,72.5,25.98,Category Page,54.84,4.93,1252,52.42,3988.96,5.49,3.07,937.04,0.67,392,908,19,29.04,106
1/1/23 16:00,January,2023,Q1,Afternoon,organic cotton apparel,eco-friendly sportswear,best organic cotton t-shirts in the US,Mexico,YouTube,Video,Desktop,2323,83,2599,18604,8.35,16.65,349,32,51.73,6.8,62.99,43.86,1.39,448,366,45.53,14.97,Homepage,78.62,9.69,1779,89.49,4016.56,3.55,4.43,227.56,0.82,128,4087,18,47.02,571
1/1/23 17:00,January,2023,Q1,Afternoon,eco-friendly clothing,eco-friendly hiking gear,eco-friendly clothing for hikers,United Kingdom,Facebook,Video,Mobile,9561,75,842,4992,5.75,17.95,982,70,62.05,8.81,60.82,47.17,1.19,28,420,73.72,16.5,Homepage,69.16,2.99,2671,70.25,6035.09,9.93,4.77,478.9,0.2,60,2391,6,21.81,1497
1/1/23 18:00,January,2023,Q1,Evening,vegan leather handbags,eco-friendly sportswear,biodegradable outdoor clothing,United States,TikTok,Image gallery,Laptop,3825,49,807,3192,7.2,3.36,122,28,51.56,1.84,94.43,49.41,10.23,184,321,49.42,48.74,Product Page,62.75,9.27,3274,82.15,5256.57,8.75,4.7,148.35,0.57,248,60,4,40.19,492
1/1/23 19:00,January,2023,Q1,Evening,eco-friendly clothing,ethical fashion brands,biodegradable outdoor clothing,Australia,Facebook,Blog post,Tablet,2285,37,2977,19540,6.9,32.94,971,22,50.53,7.19,51.49,32.33,10.37,430,162,78.51,42.72,Homepage,15.66,6.51,1686,69.27,917.18,5.33,2.36,367.97,0.87,328,2926,16,20.03,1311
1/1/23 20:00,January,2023,Q1,Evening,sustainable outdoor gear,ethical fashion brands,where to buy recycled polyester running shorts,Germany,Pinterest,Image gallery,Tablet,7989,55,880,39925,8.78,23.36,130,20,53.37,3.13,84.07,29.83,0.67,468,87,63.61,48.26,Homepage,35.3,4.11,1605,69.15,3793.42,9.76,2.65,234.06,0.3,436,2357,11,68.3,275
1/1/23 21:00,January,2023,Q1,Evening,eco-friendly clothing,ethical fashion brands,sustainable fashion for athletes,Canada,TikTok,Shorts,Desktop,3480,58,1556,25243,5.09,39.06,609,12,44.52,5.03,90.51,38.28,5.91,166,584,54.61,13.73,Category Page,58.44,9.28,3517,64.11,9629.39,9.02,1.93,972.88,0.73,218,1583,10,41.38,438
1/1/23 22:00,January,2023,Q1,Evening,vegan leather handbags,eco-friendly sportswear,best organic cotton t-shirts in the US,Australia,Twitter,Image gallery,Tablet,9567,41,2470,2247,5.63,10.35,260,73,20.05,7.59,58.4,47.54,3.93,287,231,63.32,30.01,Homepage,53.79,0.73,1626,80.71,4374.99,9.62,2.95,427.03,0.37,431,2485,16,45.25,535
